Year,Month,Index
1992,1,67.5
1992,2,68.8
1992,3,76
1992,4,77.2
1992,5,79.2
1992,6,80.4
1992,7,76.6
1992,8,76.1
1992,9,75.6
1992,10,73.3
1992,11,85.3
1992,12,91
1993,1,89.3
1993,2,86.6
1993,3,85.9
1993,4,85.6
1993,5,80.3
1993,6,81.5
1993,7,77
1993,8,77.3
1993,9,77.9
1993,10,82.7
1993,11,81.2
1993,12,88.2
1994,1,94.3
1994,2,93.2
1994,3,91.5
1994,4,92.6
1994,5,92.8
1994,6,91.2
1994,7,89
1994,8,91.7
1994,9,91.5
1994,10,92.7
1994,11,91.6
1994,12,95.1
1995,1,97.6
1995,2,95.1
1995,3,90.3
1995,4,92.5
1995,5,89.8
1995,6,92.7
1995,7,94.4
1995,8,96.2
1995,9,88.9
1995,10,90.2
1995,11,88.2
1995,12,91
1996,1,89.3
1996,2,88.5
1996,3,93.7
1996,4,92.7
1996,5,89.4
1996,6,92.4
1996,7,94.7
1996,8,95.3
1996,9,94.7
1996,10,96.5
1996,11,99.2
1996,12,96.9
1997,1,97.4
1997,2,99.7
1997,3,100
1997,4,101.4
1997,5,103.2
1997,6,104.5
1997,7,107.1
1997,8,104.4
1997,9,106
1997,10,105.6
1997,11,107.2
1997,12,102.1
1998,1,106.6
1998,2,110.4
1998,3,106.5
1998,4,108.7
1998,5,106.5
1998,6,105.6
1998,7,105.2
1998,8,104.4
1998,9,100.9
1998,10,97.4
1998,11,102.7
1998,12,100.5
1999,1,103.9
1999,2,108.1
1999,3,105.7
1999,4,104.6
1999,5,106.8
1999,6,107.3
1999,7,106
1999,8,104.5
1999,9,107.2
1999,10,103.2
1999,11,107.2
1999,12,105.4
2000,1,112
2000,2,111.3
2000,3,107.1
2000,4,109.2
2000,5,110.7
2000,6,106.4
2000,7,108.3
2000,8,107.3
2000,9,106.8
2000,10,105.8
2000,11,107.6
2000,12,98.4
2001,1,94.7
2001,2,90.6
2001,3,91.5
2001,4,88.4
2001,5,92
2001,6,92.6
2001,7,92.4
2001,8,91.5
2001,9,81.8
2001,10,82.7
2001,11,83.9
2001,12,88.8
2002,1,93
2002,2,90.7
2002,3,95.7
2002,4,93
2002,5,96.9
2002,6,92.4
2002,7,88.1
2002,8,87.6
2002,9,86.1
2002,10,80.6
2002,11,84.2
2002,12,86.7
2003,1,82.4
2003,2,79.9
2003,3,77.6
2003,4,86
2003,5,92.1
2003,6,89.7
2003,7,90.9
2003,8,89.3
2003,9,87.7
2003,10,89.6
2003,11,93.7
2003,12,92.6
2004,1,103.8
2004,2,94.4
2004,3,95.8
2004,4,94.2
2004,5,90.2
2004,6,95.6
2004,7,96.7
2004,8,95.9
2004,9,94.2
2004,10,91.7
2004,11,92.8
2004,12,97.1
2005,1,95.5
2005,2,94.1
2005,3,92.6
2005,4,87.7
2005,5,86.9
2005,6,96
2005,7,96.5
2005,8,89.1
2005,9,76.9
2005,10,74.2
2005,11,81.6
2005,12,91.5
2006,1,91.2
2006,2,86.7
2006,3,88.9
2006,4,87.4
2006,5,79.1
2006,6,84.9
2006,7,84.7
2006,8,82
2006,9,85.4
2006,10,93.6
2006,11,92.1
2006,12,91.7
2007,1,96.9
2007,2,91.3
2007,3,88.4
2007,4,87.1
2007,5,88.3
2007,6,85.3
2007,7,90.4
2007,8,83.4
2007,9,83.4
2007,10,80.9
2007,11,76.1
2007,12,75.5
2008,1,78.4
2008,2,70.8
2008,3,69.5
2008,4,62.6
2008,5,59.8
2008,6,56.4
2008,7,61.2
2008,8,63
2008,9,70.3
2008,10,57.6
2008,11,55.3
2008,12,60.1
2009,1,61.2
2009,2,56.3
2009,3,57.3
2009,4,65.1
2009,5,68.7
2009,6,70.8
2009,7,66
2009,8,65.7
2009,9,73.5
2009,10,70.6
2009,11,67.4
2009,12,72.5
2010,1,74.4
2010,2,73.6
2010,3,73.6
2010,4,72.2
2010,5,73.6
2010,6,76
2010,7,67.8
2010,8,68.9
2010,9,68.2
2010,10,67.7
2010,11,71.6
2010,12,74.5
2011,1,74.2
2011,2,77.5
2011,3,67.5
2011,4,69.8
2011,5,74.3
2011,6,71.5
2011,7,63.7
2011,8,55.8
2011,9,59.5
2011,10,60.8
2011,11,63.7
2011,12,69.9
2012,1,75
2012,2,75.3
2012,3,76.2
2012,4,76.4
2012,5,79.3
2012,6,73.2
2012,7,72.3
2012,8,74.3
2012,9,78.3
2012,10,82.6
2012,11,82.7
2012,12,72.9
2013,1,73.8
2013,2,77.6
2013,3,78.6
2013,4,76.4
2013,5,84.5
2013,6,84.1
2013,7,85.1
2013,8,82.1
2013,9,77.5
2013,10,73.2
2013,11,75.1
2013,12,82.5
2014,1,81.2
2014,2,81.6
2014,3,80
2014,4,84.1
2014,5,81.9
2014,6,82.5
2014,7,81.8
2014,8,82.5
2014,9,84.6
2014,10,86.9
2014,11,88.8
2014,12,93.6
2015,1,98.1
2015,2,95.4
2015,3,93
2015,4,95.9
2015,5,90.7
2015,6,96.1
2015,7,93.1
2015,8,91.9
2015,9,87.2
2015,10,90
2015,11,91.3
2015,12,92.6
2016,1,92
2016,2,91.7
2016,3,91
2016,4,89
2016,5,94.7
2016,6,93.5
2016,7,90
2016,8,89.8
2016,9,91.2
2016,10,87.2
2016,11,93.8
2016,12,98.2
2017,1,98.5
2017,2,96.3
2017,3,96.9
2017,4,97
2017,5,97.1
2017,6,95
2017,7,93.4
2017,8,96.8
2017,9,95.1
2017,10,100.7
2017,11,98.5
2017,12,95.9
